station,name,lat,lon,start,ending
482,Ólafsgerði,66.0830001831,-16.8500003815,1927,1927.0
484,Garður,66.0670013428,-16.7670001984,1962,2000.0
485,Kelduneskot,66.0830001831,-16.6830005646,1928,1928.0
488,Ásbyrgi,66.0329971313,-16.4829998016,1963,1969.0
489,Herðubreiðalindir,65.1999969482,-16.2329998016,1976,1977.0
490,Möðrudalur,65.3753662109,-15.8833303452,1976,2010.0
495,Grímsstaðir,65.6423187256,-16.1208190918,1907,
502,Raufarhöfn,66.4590530396,-15.9472999573,2010,2023.0
505,Raufarhöfn,66.4513473511,-15.9486198425,1920,2009.0
506,Syðra-Lón/Flaga/Kúðá,66.1999969482,-15.6000003815,1883,1884.0
507,Þórshöfn,66.1999969482,-15.3330001831,1917,1923.0
508,Sauðanes,66.247428894,-15.2614803314,1980,2004.0
510,Skoruvík,66.3499984741,-14.7670001984,1944,1977.0
511,Skálar á Langanesi,66.3330001831,-14.7829999924,1934,1944.0
515,Miðfjarðarnes,66.0659484863,-15.0791702271,1999,
519,Þorvaldsstaðir,66.0329971313,-14.9829998016,1951,1995.0
520,Bakkafjörður,66.0329971313,-14.8000001907,1929,1948.0
521,Strandhöfn,65.9061203003,-14.6502504349,1980,2005.0
525,Vopnafjörður,65.75,-14.8330001831,1964,1994.0
527,Skjaldþingsstaðir,65.7026824951,-14.8211202621,1994,
529,Búastaðir,65.6669998169,-15.0500001907,1964,1964.0
530,Hof í Vopnafirði,65.6500015259,-15.0170001984,1946,1966.0
531,Þorbrandsstaðir,65.6330032349,-15.0500001907,1966,1968.0
533,Fagridalur,65.7829971313,-14.4499998093,1925,1964.0
542,Brú á Jökuldal I,65.1085205078,-15.5293302536,1957,1999.0
561,Kóreksstaðir,65.5500030518,-14.1829996109,1898,1906.0
562,Dratthalastaðir,65.5500030518,-14.3330001831,1964,2000.0
563,Gunnhildargerði,65.5500030518,-14.3830003738,1947,1964.0
564,Nefbjarnarstaðir,65.5670013428,-14.3999996185,1907,1946.0
565,Svínafell,65.5134811401,-14.1999998093,1991,2025.0
568,Eiðar,65.3669967651,-14.3500003815,1924,1937.0
570,Egilsstaðir,65.2691421509,-14.3873739243,1943,1998.0
575,Grímsárvirkjun,65.1375274658,-14.5323295593,1959,2014.0
578,Birkihlíð,65.0,-14.6169996262,1984,2001.0
580,Hallormsstaður,65.0999984741,-14.7170000076,1992,1995.0
590,Skriðuklaustur,65.0329971313,-14.9329996109,1952,1979.0
591,Valþjófsstaður,65.016998291,-14.9829998016,1880,1883.0
598,Snæfellsskáli,64.803894043,-15.6434745789,1990,2002.0
607,Hvannstóð,65.4670028687,-13.8830003738,1990,1998.0
608,Desjarmýri,65.5052337646,-13.7971000671,1998,2016.0
609,Glettinganes,65.5,-13.6169996262,1931,1940.0
611,Nes í Loðmundarfirði,65.3499984741,-13.75,1940,1941.0
615,Seyðisfjörður,65.2621688843,-14.0093698502,1957,2003.0
616,Hánefsstaðir,65.2854309082,-13.8715200424,2002,
620,Dalatangi,65.2681732178,-13.5759296417,1938,
622,Mjóifjörður,65.1999969482,-13.8170003891,1992,1992.0
625,Neskaupstaður veðurfarsstöð,65.1481323242,-13.6738300323,1975,2002.0
626,Neskaupstaður,65.1499481201,-13.6761331558,2002,
632,Eskifjörður,65.0670013428,-14.0,1991,1993.0
635,Kollaleira,65.0363311768,-14.2403497696,1976,2007.0
641,Vattarnes,64.9329986572,-13.6999998093,1931,1944.0
660,Kambanes,64.8025360107,-13.8449468613,1961,1991.0
666,Gilsá,64.8592987061,-14.2367801666,1997,
670,Núpur,64.6999969482,-14.1000003815,1992,2004.0
675,Teigarhorn,64.6761398315,-14.3440599442,2018,2023.0
676,Djúpivogur,64.65625,-14.2882003784,1944,1968.0
677,Djúpivogur,64.6560668945,-14.2881698608,2008,2014.0
680,Papey,64.5830001831,-14.1669998169,1962,1968.0
694,Stafafell,64.4190292358,-14.8565998077,1989,
701,Horn í Hornafirði,64.266998291,-14.9829998016,1948,1960.0
702,Stokksnes,64.2829971313,-14.9670000076,1961,1961.0
705,Höfn í Hornafirði,64.2509536743,-15.2133703232,2006,2025.0
706,Hjarðarnes,64.2829971313,-15.2170000076,1985,1992.0
707,Akurnes,64.3100814819,-15.2209196091,1992,2006.0
709,Borgir í Hornafirði,64.3077926636,-15.2304496765,2012,2021.0
710,Hólar í Hornafirði,64.2999191284,-15.190030098,1921,2012.0
712,Bjarnarnes,64.3170013428,-15.2670001984,1884,1891.0
735,Vagnsstaðir,64.1829986572,-15.8170003891,1962,1995.0
738,Hali,64.12840271,-16.0125293732,1998,2016.0
740,Kvísker,63.9776687622,-16.4366493225,1961,2014.0
745,Fagurhólsmýri,63.8774490356,-16.6471691132,1903,2008.0
747,Sandfell í Öræfum,63.9500007629,-16.7999992371,1902,1902.0
748,Skaftafell,64.0182342529,-16.9884490967,1964,2023.0
765,Kálfafell,63.9444999695,-17.6882991791,2017,
768,Dalshöfði,63.9113998413,-17.8367805481,1994,2017.0
772,Kirkjubæjarklaustur,63.7894706726,-18.0542697906,1926,2013.0
784,Snæbýli,63.7361717224,-18.6214694977,1976,
790,Mýrar í Álftaveri,63.5,-18.3330001831,1959,1986.0
791,Norðurhjáleiga,63.5077705383,-18.3716697693,1986,2007.0
796,Kerlingardalur,63.4441490173,-18.8926506042,1999,2023.0
798,Vík í Mýrdal,63.4201812744,-19.0097808838,1925,2014.0
801,Loftsalir,63.4169998169,-19.1499996185,1939,1978.0
802,Vatnsskarðshólar,63.4235992432,-19.1830291748,1978,
806,Drangshlíðardalur,63.5295982361,-19.5189990997,2012,
807,Skógar,63.526550293,-19.493850708,1965,2012.0
814,Surtsey,63.2999992371,-20.6000003815,1969,1972.0
815,Stórhöfði,63.3997497559,-20.2883205414,1921,2014.0
816,Vestmannaeyjabær,63.483001709,-20.25,1961,1973.0
818,Hólmar,63.5699195862,-20.1491203308,1960,
821,Bergþórshvoll,63.6329994202,-20.3330001831,1960,1991.0
824,Búð í Þykkvabæ,63.75,-20.6170005798,1960,1981.0
825,Önnupartur,63.7484512329,-20.6172199249,1981,2008.0
827,Bjóla í Þykkvabæ,63.7999992371,-20.466999054,1960,1991.0
829,Berustaðir í Ásum,63.8670005798,-20.5499992371,1939,1941.0
830,Básar á Goðalandi,63.6775741577,-19.4818267822,1991,2003.0
832,Kornvellir,63.75,-20.25,1967,1977.0
846,Sámsstaðir,63.735370636,-20.1092300415,1927,2023.0
855,Hella,63.836101532,-20.3930702209,1957,2005.0
857,Rauðalækur,63.8670005798,-20.4500007629,1938,1939.0
868,Akurhóll,63.8670005798,-20.1830005646,1964,1972.0
869,Gunnarsholt,63.8670005798,-20.2000007629,1960,1961.0
875,Leirubakki,64.0,-20.0,1960,1991.0
882,Vatnsfellsbúðir,64.1994171143,-19.0302696228,1999,2002.0
883,Þórisós,64.3830032349,-18.7670001984,1970,1970.0
884,Þúfuver I,64.5670013428,-18.6000003815,1987,1992.0
885,Jökulheimar,64.3000030518,-18.25,1963,1970.0
886,Sigalda,64.1669998169,-19.1329994202,1973,1980.0
887,Hrauneyjafoss,64.1999969482,-19.2329998016,1979,2004.0
888,Versalir,64.4499969482,-18.75,1990,2000.0
892,Hveravellir,64.8666763306,-19.5620498657,1964,2004.0
897,Hvítárnes,64.6169967651,-19.75,1937,1938.0
