station,name,lat,lon,start,ending
898,Búrfell I,64.0999984741,-19.7999992371,1988,1992.0
899,Búrfell,64.0830001831,-19.7329998016,1970,1993.0
902,Jaðar,64.2875823975,-20.1621303558,1956,2004.0
903,Hlíð í Hrunamannahreppi,64.266998291,-20.1830005646,1931,1956.0
904,Efra-Sel í Hrunamannahreppi,64.1500015259,-20.3670005798,1981,1982.0
905,Hrepphólar,64.0670013428,-20.3330001831,1931,1936.0
906,Stórinúpur,64.0670013428,-20.1830005646,1883,1929.0
907,Hæll,64.065071106,-20.2411804199,1932,2015.0
910,Blesastaðir,63.983001709,-20.5499992371,1960,1986.0
915,Forsæti,63.8563690186,-20.720369339,1960,2008.0
919,Lækjarbakki,63.8092002869,-20.8869991302,1960,2006.0
923,Eyrarbakki,63.8645782471,-21.1560192108,1923,2017.0
925,Kaldaðarnes,63.9169998169,-21.1669998169,1940,1943.0
927,Laugardælir,63.9500007629,-20.966999054,1960,1974.0
929,Brjánsstaðir,64.0670013428,-20.75,1960,1961.0
931,Hjarðarland,64.2504196167,-20.3309192657,1990,
932,Vegatunga,64.1829986572,-20.5,1957,1976.0
936,Austurey II,64.1829986572,-20.6499996185,1960,1991.0
938,Miðfell,64.1669998169,-21.0669994354,1965,1991.0
943,Svartagil,64.3000030518,-20.1170005798,1970,1971.0
945,Þingvellir,64.25,-21.1170005798,1934,1982.0
949,Heiðarbær,64.1999969482,-21.2329998016,1965,1991.0
951,Nesjavellir,64.1087799072,-21.2582798004,1981,2022.0
954,Úlfljótsvatn,64.0999984741,-21.0499992371,1936,1937.0
955,Ljósafoss,64.0999984741,-21.0170001984,1937,1972.0
956,Írafoss,64.0881195068,-21.006729126,1972,
957,Reykir í Ölfusi,64.0,-21.1830005646,1971,2001.0
958,Reykjakot,64.016998291,-21.2000007629,1961,1966.0
959,Hveragerði,64.0,-21.2000007629,1961,1963.0
960,Alviðra,64.0,-21.1830005646,1965,1966.0
965,Arnarbæli,63.9500007629,-21.2000007629,1915,1920.0
970,Þorlákshöfn,63.8607215881,-21.373670578,1985,1987.0
971,Vogsósar,63.8582191467,-21.7129802704,1995,
972,Krísuvík,63.8829994202,-22.0669994354,1975,1979.0
982,Svartsengi,63.8829994202,-22.4330005646,1990,1990.0
983,Grindavík,63.8437995911,-22.417049408,1921,2008.0
985,Reykjanes,63.8170013428,-22.716999054,1927,1998.0
987,Sandgerði,64.0500030518,-22.7000007629,1930,1930.0
990,Keflavíkurflugvöllur,63.9802398682,-22.5952606201,1952,
1350,Keflavíkurflugvöllur,63.9828987122,-22.6005191803,2008,
1357,Njarðvík,63.9867286682,-22.5334701538,1998,1998.0
1361,Grindavík,63.8437805176,-22.417049408,2008,
1362,Grindavík,63.8392982483,-22.4274997711,1995,2008.0
1368,Afstapahraun,63.9908218384,-22.1714000702,2000,2008.0
1370,Hvassahraun,64.0196762085,-22.0918807983,2020,
1391,Þorlákshöfn,63.8606987,-21.3736991882,1995,2008.0
1395,Eyrarbakki,63.8692016602,-21.1601791382,2005,
1452,Sandgerði,64.0381011963,-22.7168006897,1998,1998.0
1453,Garðskagaviti,64.0817184448,-22.6893196106,1995,
1469,Reykjavík Hljómskálagarður,64.1410522461,-21.9436302185,2022,
1470,Reykjavík,64.1288375854,-21.9082202911,2021,
1471,Seltjarnarnes Suðurnes,64.154510498,-22.0325107574,2019,
