variable,period,outcome,coarse_bin,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,bootstrap_ci_95_low,bootstrap_ci_95_high,analysed_accidents,sparse_bin,bootstrap_stations,bootstrap_reps
f,Spring,Serious/fatal subset (meiðsli ≤ 2),0-5,0,90,98.56947752782388,0.9130615506670924,0.7837333801824085,1.0346092241594418,194,False,94,5000
f,Spring,Serious/fatal subset (meiðsli ≤ 2),5-10,1,73,70.76625255270685,1.0315651509966486,0.8516702166343516,1.2191713006112117,194,False,94,5000
f,Spring,Serious/fatal subset (meiðsli ≤ 2),10-15,2,25,20.22700361501837,1.235971500071208,0.7553421031879503,1.7484074059034524,194,False,94,5000
f,Spring,Serious/fatal subset (meiðsli ≤ 2),15-20,3,3,3.681647366872483,0.8148526192361724,0.0,1.983182360709458,194,True,94,5000
f,Spring,Serious/fatal subset (meiðsli ≤ 2),20-25,4,2,0.6070141183606247,3.294816281047038,0.0,10.716713307386264,194,True,94,5000
f,Spring,Serious/fatal subset (meiðsli ≤ 2),>=25,5,1,0.1486048192177723,6.729256865718156,0.0,58.13744895142768,194,True,94,5000
f,Summer,All injury accidents (meiðsli ≤ 3),0-5,0,1285,1400.277276039291,0.9176753932868532,0.8859627361908302,0.9509259936088424,2273,False,250,5000
f,Summer,All injury accidents (meiðsli ≤ 3),5-10,1,784,696.649163628959,1.12538712587555,1.0576506865235538,1.1921962965424495,2273,False,250,5000
f,Summer,All injury accidents (meiðsli ≤ 3),10-15,2,154,148.8958753248135,1.0342798258450878,0.8861800545159478,1.182649216907634,2273,False,250,5000
f,Summer,All injury accidents (meiðsli ≤ 3),15-20,3,43,23.21832073099838,1.851985787352461,1.3341707912810634,2.4837353630540355,2273,False,250,5000
f,Summer,All injury accidents (meiðsli ≤ 3),20-25,4,4,3.3277189546364014,1.20202458636927,0.2271645196039226,2.921023720786282,2273,True,250,5000
f,Summer,All injury accidents (meiðsli ≤ 3),>=25,5,3,0.6316453213016415,4.74950086516568,0.0,19.954905272228,2273,True,250,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),0-5,0,355,384.7725916477457,0.922622888703564,0.8581023823034609,0.9896805445534702,626,False,194,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),5-10,1,208,190.68177737285657,1.0908226410816362,0.9759024326674836,1.2077181741456808,626,False,194,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),10-15,2,46,42.09940091143926,1.0926521281565522,0.7830505420160506,1.4148585746399238,626,False,194,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),15-20,3,15,7.057352070174276,2.125443062900727,0.9938707809378812,3.609203773060778,626,True,194,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),20-25,4,1,1.1403440475814963,0.8769283288853521,0.0,3.5730257500243017,626,True,194,5000
f,Summer,Serious/fatal subset (meiðsli ≤ 2),>=25,5,1,0.2485339502027089,4.023595163495295,0.0,23.007800522997012,626,True,194,5000
f,Winter,All injury accidents (meiðsli ≤ 3),0-5,0,865,898.0391276297618,0.9632097014336518,0.9105999616288938,1.0145802682019551,2033,False,209,5000
f,Winter,All injury accidents (meiðsli ≤ 3),5-10,1,672,706.8846787652485,0.9506501133591078,0.8906536257620493,1.0173330689160716,2033,False,209,5000
f,Winter,All injury accidents (meiðsli ≤ 3),10-15,2,341,320.4739306937891,1.0640491077129872,0.9565765177946598,1.17669818841634,2033,False,209,5000
f,Winter,All injury accidents (meiðsli ≤ 3),15-20,3,119,86.44926692222384,1.3765298913067847,1.0947469298287245,1.6285243039189343,2033,False,209,5000
f,Winter,All injury accidents (meiðsli ≤ 3),20-25,4,32,17.390938296276726,1.8400387290690905,1.256625109327606,2.4837275442969453,2033,False,209,5000
f,Winter,All injury accidents (meiðsli ≤ 3),>=25,5,4,3.7620576927000102,1.063247915565383,0.2130104663658153,2.539876023006229,2033,True,209,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),0-5,0,169,169.99769165714784,0.9941311458560274,0.8940070364186455,1.0942566901887163,372,False,136,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),5-10,1,128,127.50269309595004,1.0039003639215347,0.873940000464633,1.1331498614031863,372,False,136,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),10-15,2,51,55.77606410369711,0.914370721913658,0.6969103660037814,1.1609523721224704,372,False,136,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),15-20,3,21,14.881543910699818,1.411143905902197,0.8481542035104613,2.048622895082802,372,False,136,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),20-25,4,3,3.110026813868167,0.9646219082814534,0.0,2.1561789026576257,372,True,136,5000
f,Winter,Serious/fatal subset (meiðsli ≤ 2),>=25,5,0,0.7319804186369983,0.0,0.0,0.0,372,True,136,5000
fg,All year,All injury accidents (meiðsli ≤ 3),0-5,0,1965,2195.203285834692,0.8951334997901296,0.8639195612132942,0.926415284302722,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),5-10,1,2166,2076.9940500951097,1.0428532522280527,1.00041029119475,1.0852044169470447,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),10-15,2,1184,1181.229927891528,1.0023450744373,0.9438299155016896,1.0642599414301224,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),15-20,3,525,497.1259269338867,1.0560704472567577,0.9530268112553174,1.1628025302888103,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),20-25,4,209,170.34586616551948,1.226915596513047,1.046060997025972,1.4233996543672784,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),25-30,5,75,51.475074297162045,1.4570158668840414,1.104400831881977,1.8220461430671544,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),30-35,6,40,14.090714704636438,2.8387488383991135,1.8958834535203313,3.832052938150393,6192,False,270,5000
fg,All year,All injury accidents (meiðsli ≤ 3),>=35,7,28,5.5351540774655,5.058576438548023,2.9395968883762795,7.568267535343308,6192,False,270,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),0-5,0,465,511.4322266872845,0.9092113788213124,0.8418234093158365,0.9773651144510764,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),5-10,1,516,478.9188151675289,1.077426869978996,1.0005226136299217,1.1528802152119382,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),10-15,2,242,260.6682440651777,0.9283831287845332,0.834000832614057,1.0311338724860957,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),15-20,3,107,104.09922088828972,1.027865521825789,0.837589500520807,1.2380839174936769,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),20-25,4,37,34.52453155986007,1.0717017242029152,0.6769932064288334,1.4964103289505897,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),25-30,5,26,10.339293268745154,2.514678646227774,1.42639741581679,3.730884628074391,1404,False,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),30-35,6,5,2.8651502095954378,1.7451092034389375,0.3829078218605588,3.515799684126904,1404,True,229,5000
fg,All year,Serious/fatal subset (meiðsli ≤ 2),>=35,7,6,1.1525181535183124,5.205991750918365,1.1598717656688728,10.781742467046596,1404,True,229,5000
fg,Autumn,All injury accidents (meiðsli ≤ 3),0-5,0,404,392.2262485248175,1.0300177551080891,0.9519800485337676,1.1120081559097763,1096,False,184,5000
