coarse_bin,observed_accidents,expected_accidents,background_measurements,stations,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_median,bootstrap_standard_error,bootstrap_probability_above_1,bootstrap_reps,bootstrap_stations,relative_accident_frequency,variable,radius_km,severity_group,analysis_season,max_time_difference_minutes,bin_order
30-35,5,2.8651502095954378,289529,218,0.3829078218605588,3.515799684126904,1.6862966771183867,0.7882843760531388,0.8376,5000,229,1.7451092034389377,fg,20,Serious or fatal,All seasons,5,6
>=35,6,1.1525181535183124,127111,204,1.1598717656688728,10.781742467046596,5.029070765041648,2.4642293604070105,0.9794,5000,229,5.205991750918365,fg,20,Serious or fatal,All seasons,5,7
0-5,47,49.77535411669256,10059450,88,0.7240418687549328,1.1716943411452163,0.9420617607308845,0.11447151584331353,0.3012,5000,88,0.9442424033752514,fg,20,Fatal,All seasons,5,0
5-10,49,46.171680009174885,9146117,88,0.8461502684620114,1.2801193623051783,1.060388078238744,0.1108658002365888,0.7102,5000,88,1.0612565969066556,fg,20,Fatal,All seasons,5,1
10-15,18,26.16648857254783,5108394,88,0.4144300278056383,1.020056190991693,0.6842828423567667,0.1544799532083434,0.0312,5000,88,0.687902771137753,fg,20,Fatal,All seasons,5,2
15-20,16,11.09425298009867,2166821,88,0.8420739384231478,2.0980810819622193,1.4291330693398492,0.31626704166873454,0.9208,5000,88,1.4421881336852027,fg,20,Fatal,All seasons,5,3
20-25,4,3.949725785058026,785256,88,0.22660226623734955,2.111789646545258,0.9794021105492828,0.4999001767804095,0.4804,5000,88,1.0127285329863058,fg,20,Fatal,All seasons,5,4
25-30,4,1.3229790523857088,265623,88,0.6449621139914525,6.43423495997609,2.985077870153121,1.5309587933008117,0.9202,5000,88,3.023479466879584,fg,20,Fatal,All seasons,5,5
30-35,1,0.3688180469618737,75798,87,0.0,10.099024724065805,2.6069360491703786,2.958190899292722,0.6446,5000,88,2.7113640675597805,fg,20,Fatal,All seasons,5,6
>=35,0,0.15070143708041622,32412,76,0.0,0.0,0.0,0.0,0.0,5000,88,0.0,fg,20,Fatal,All seasons,5,7
0-5,593,599.2027658586263,14768676,209,0.9182389398437224,1.060528695936276,0.9899158305593023,0.03706745254300747,0.3966,5000,209,0.9896483023576533,fg,20,Injury accidents,Winter,5,0
5-10,559,608.9277977838696,14774355,209,0.8477637101468387,0.9950904200947122,0.9177472932367112,0.03777774693912816,0.0198,5000,209,0.9180070314320078,fg,20,Injury accidents,Winter,5,1
10-15,437,453.5319054251787,11051734,209,0.8766284898982082,1.0602023139778582,0.9649090443013915,0.0467825316972418,0.2246,5000,209,0.9635485282789966,fg,20,Injury accidents,Winter,5,2
15-20,272,237.0792060415909,5759764,209,1.0076383932365187,1.2822193824203252,1.1460707555164813,0.07032089828057238,0.9792,5000,209,1.147295895500354,fg,20,Injury accidents,Winter,5,3
20-25,108,91.80451094072367,2364996,208,0.9520612671196528,1.4075376776569424,1.1739121669349295,0.11748235261618745,0.9364,5000,209,1.1764127807372498,fg,20,Injury accidents,Winter,5,4
25-30,41,30.09758366983875,828292,208,0.8985666973474499,1.8192839374010858,1.3514460729834719,0.23077350443017236,0.936,5000,209,1.3622356016933919,fg,20,Injury accidents,Winter,5,5
30-35,15,8.840515086092251,257588,206,0.9522103653500953,2.569373913645568,1.6848571272472581,0.41739532065513113,0.9668,5000,209,1.6967337144865853,fg,20,Injury accidents,Winter,5,6
>=35,8,3.515715194079884,111202,199,0.8264062631013686,4.0283237785285015,2.2317531756595503,0.8259792393310182,0.9538,5000,209,2.275497177209123,fg,20,Injury accidents,Winter,5,7
0-5,212,264.5452024450936,8316634,185,0.71811034307164,0.8863025955478333,0.8018904832676448,0.0423419448978397,0.0,5000,185,0.801375334122722,fg,20,Injury accidents,Spring,5,0
5-10,305,289.29016161793686,8824003,185,0.9486777018322861,1.1602395672042802,1.0550604525900642,0.053199748883549024,0.8522,5000,185,1.0543047793060139,fg,20,Injury accidents,Spring,5,1
10-15,172,159.49770271991304,4779551,185,0.9274821626053273,1.2385198544191438,1.0773061466107743,0.07953750850159298,0.8338,5000,185,1.0783854379523052,fg,20,Injury accidents,Spring,5,2
15-20,62,55.814649596365456,1713122,185,0.8441222609148437,1.3819426165337183,1.107277707101583,0.13560732576783996,0.7932,5000,185,1.1108194792651234,fg,20,Injury accidents,Spring,5,3
20-25,15,15.800538143376368,508817,185,0.49429297153962853,1.4354024297598253,0.9320912046224179,0.23702109656039083,0.3892,5000,185,0.9493347545436637,fg,20,Injury accidents,Spring,5,4
25-30,11,3.8326980283395184,129984,182,1.4866920035127362,4.320675161907515,2.8240618692191246,0.7325200044333721,0.9964,5000,185,2.8700408742521386,fg,20,Injury accidents,Spring,5,5
30-35,7,0.8945177406017178,32179,169,2.379017072680931,14.455332568043007,7.543909563505062,3.1035968728910097,0.997,5000,185,7.825445692436787,fg,20,Injury accidents,Spring,5,6
>=35,6,0.3245297083734479,12426,129,4.1308924695753415,38.01132165344009,17.5280996693787,8.593451068020954,0.9948,5000,185,18.488291965848582,fg,20,Injury accidents,Spring,5,7
0-5,756,939.2290690061549,25608584,250,0.7590027358496252,0.8503838754971624,0.8051810629442145,0.02347281362033015,0.0,5000,250,0.8049154619968921,fg,20,Injury accidents,Summer,5,0
5-10,966,843.783810055937,22767788,250,1.0867208486546291,1.203681378711146,1.1443583226591012,0.029678345283621156,1.0,5000,250,1.1448430136813847,fg,20,Injury accidents,Summer,5,1
10-15,390,352.59405277491385,9686029,250,0.9850991530750761,1.2272605556866074,1.1052004360704095,0.061770474984596056,0.955,5000,250,1.1060878563625833,fg,20,Injury accidents,Summer,5,2
15-20,96,102.87041004615489,2862626,250,0.7617500366444911,1.10763915372593,0.9313983293963375,0.08768551293520685,0.2202,5000,250,0.9332129614038445,fg,20,Injury accidents,Summer,5,3
20-25,42,26.325926191648144,755805,250,1.152136847385183,2.0526504604278277,1.5897840872213362,0.23210715642336965,0.9962,5000,250,1.595385465044889,fg,20,Injury accidents,Summer,5,4
25-30,9,6.287225897841986,187390,243,0.5679746539710147,2.4131427549270783,1.4127714219490761,0.47628054218768795,0.8118,5000,250,1.4314739356015729,fg,20,Injury accidents,Summer,5,5
30-35,7,1.4165172446924434,45307,223,1.4841255969736316,9.47223465644795,4.850248857401304,2.0522093956046406,0.9878,5000,250,4.9416976928649055,fg,20,Injury accidents,Summer,5,6
>=35,7,0.4929887826567609,16508,183,3.7162979663230655,31.05473028663911,14.01471640915419,7.077192926538772,0.9988,5000,250,14.199106037010356,fg,20,Injury accidents,Summer,5,7
0-5,404,392.2262485248175,8787761,184,0.9519800485337677,1.1120081559097765,1.0300305178650817,0.04121029832054677,0.7652,5000,184,1.0300177551080891,fg,20,Injury accidents,Fall,5,0
5-10,336,334.99228063736626,7204773,184,0.919529475912697,1.0872276744504141,1.0037543151446393,0.04272612222937556,0.5338,5000,184,1.0030081868176677,fg,20,Injury accidents,Fall,5,1
10-15,185,215.60626697152227,4686793,184,0.749201472873534,0.9599874877506919,0.8563973490739321,0.053665632667990446,0.0022,5000,184,0.8580455596146247,fg,20,Injury accidents,Fall,5,2
